product_number	produkt_name	hersteller	stock	available_stock	active	manufacturer_number	brutto_preis	varianten	created_at
00A3Y	Individuelle Schliessanlage DOM ix Twido Nr: 00A3Y	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-07-22 00:00:00.000
05ISQH	Individuelle Schließanlage 05ISQH	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
0HJY5	Individuelle Schliessanlage DOM RS Sigma plus Nr: 0HJY5	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-02-28 00:00:00.000
0LVN1Y	Individuelle Schließanlage 0LVN1Y	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
0MIGJ4	Individuelle Schließanlage 0MIGJ4	NULL	0	0	1	NULL	NULL	0	2024-01-01 08:17:05.000
0O6Z9	Individuelle Schliessanlage DOM RS Sigma plus Nr: 0O6Z9	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-08-17 00:00:00.000
0PJC7	Individuelle Schliessanlage DOM Twinstar Nr: 0PJC7	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-17 00:00:00.000
0PMFC	Individuelle Schliessanlage DOM Twinstar Nr: 0PMFC	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-07-23 00:00:00.000
0PMGR	Individuelle Schliessanlage DOM ix Twido Nr: 0PMGR	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-01-10 00:00:00.000
0QGCB	Individuelle Schliessanlage DOM Twinstar Nr: 0QGCB	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-11 00:00:00.000
0QVXY6	Individuelle Schließanlage 0QVXY6	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
0R6TG	Individuelle Schliessanlage DOM Twinstar Nr: 0R6TG	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-03 00:00:00.000
0SB0L	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 0SB0L	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-09-30 00:00:00.000
0VI89	Individuelle Schliessanlage DOM RS Sigma plus Nr: 0VI89	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-07-31 00:00:00.000
0XO5E	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 0XO5E	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-07-14 00:00:00.000
0YKZKT	Individuelle Schließanlage 0YKZKT	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
101140	Rohrrahmen-Riegelschloss, PZ gelocht, Reparaturstulp 24x268 mm, Dorn 40 mm, Bever 1011R	Bever	0	0	1	1011/40	NULL	0	2021-04-01 00:00:00.000
101145	Rohrrahmen-Riegelschloss, PZ gelocht, Reparaturstulp 24x268 mm, Dorn 45 mm, Bever 1011R	Bever	0	0	0	1011/45	NULL	0	2021-04-01 00:00:00.000
1011R3522	Rohrrahmen-Riegelschloss, PZ gelocht, Reparaturstulp 24x268 mm, Dorn 35 mm, Bever 1011R	Bever	2	2	1	1011R3522	NULL	0	2021-03-08 00:00:00.000
10RRX	Individuelle Schliessanlage DOM ix Twido Nr: 10RRX	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-27 00:00:00.000
1145EURD	Master Lock Vorhangschloss 1145EURD aus Massivmessing mit sechseckigem Bügel	Master Lock	0	0	1	1145EURD	NULL	0	2019-10-22 00:00:00.000
1155EURD	Master Lock Vorhangschloss 1155EURD aus Massivmessing mit sechseckigem Bügel	Master Lock	4	4	1	1155EURD	NULL	0	2019-10-22 00:00:00.000
1165EURD	Master Lock Vorhangschloss 1165EURD aus Massivmessing mit sechseckigem Bügel	Master Lock	2	2	1	1165EURD	NULL	0	2019-10-22 00:00:00.000
118RS	Individuelle Schliessanlage DOM RS Sigma plus Nr: 118RS	Becker Sicherheitstechnik GmbH	-2	-2	1	NULL	NULL	0	2023-11-21 00:00:00.000
121365	Vierkant Dornschlüssel, 6 mm	BASI	32	32	0	301V-6	NULL	0	2021-03-08 00:00:00.000
121396	Vierkant Dornschlüssel, 9 mm	BASI	13	13	1	121396	NULL	0	2021-03-08 00:00:00.000
1226.02	KWS Türfeststeller mit Tretbolzen, Hub 120 mm, silberfarbig	Woelm	9	9	1	1226.02	NULL	0	2020-09-15 00:00:00.000
1226.70	KWS Türfeststeller mit Tretbolzen, Hub 120 mm, weiß	Woelm	0	0	0	1226.70	NULL	0	2020-09-15 00:00:00.000
1251700M	dormakaba evolo smart Starter Kit mit Digitalzylinder	Dormakaba	-4	-4	1	1251700	NULL	60	2022-08-01 00:00:00.000
13VJKN	Individuelle Schließanlage 13VJKN	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
13W3K9	Individuelle Schließanlage 13W3K9	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
140EURD	Master Lock Vorhangschloss 140EURD aus Massivmessing	Master Lock	26	26	1	NULL	NULL	0	2019-10-22 00:00:00.000
140EURDLH	Master Lock Vorhangschloss 140EURD aus Massivmessing mit 51 mm hohem Bügel	Master Lock	6	6	1	140EURDLH	NULL	0	2019-10-22 00:00:00.000
140EURQNOP	Master Lock Vorhangschloss 140EUR, 4 Stück gleichschließend	Master Lock	2	2	1	140EURQNOP	NULL	0	2019-10-22 00:00:00.000
140EURSIX	Master Lock Vorhangschloss 140EUR, 6 Stück gleichschließend	Master Lock	4	4	1	140EURSIX	NULL	0	2019-10-22 00:00:00.000
141E4	Individuelle Schliessanlage DOM Twinstar Nr: 141E4	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-16 00:00:00.000
1489EURDAT	Master Lock Fußbodenanker 1489EURDAT, Abstand 50x50 mm	Master Lock	2	2	1	1489EURDAT	NULL	0	2019-03-13 00:00:00.000
14RSW	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 14RSW	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-07-11 00:00:00.000
150EURD	Master Lock Vorhangschloss 150EURD aus Massivmessing	Master Lock	19	19	1	150EURD	NULL	0	2019-10-22 00:00:00.000
150EURDLJ	Master Lock Vorhangschloss 150EURD aus Massivmessing mit 64 mm hohem Bügel	Master Lock	4	4	1	150EURDLJ	NULL	0	2019-10-22 00:00:00.000
150EURQNOP	Master Lock Vorhangschloss 150EUR, 4 Stück gleichschließend	Master Lock	3	3	1	150EURQNOP	NULL	0	2019-10-22 00:00:00.000
150EURT	Master Lock Vorhangschloss 150EUR, 2 Stück gleichschließend	Master Lock	4	4	1	150EURT	NULL	0	2019-10-22 00:00:00.000
1520EURD	Master Lock Vorhangschloss 1520EURD mit individuell einstellbarer Zahlenkombination	Master Lock	3	3	1	1520EURD	NULL	0	2019-10-22 00:00:00.000
1535EURDGRY	Master Lock Vorhangschloss 1535EURDGRY mit individuell einstellbarer Zahlenkombination	Master Lock	0	0	0	1535EURDGRY	NULL	0	2019-10-22 00:00:00.000
160EURD	Master Lock Vorhangschloss 160EURD aus Massivmessing	Master Lock	3	3	1	160EURD	NULL	0	2019-10-22 00:00:00.000
170EURD	Master Lock Vorhangschloss 170EURD aus Massivmessing	Master Lock	0	0	0	NULL	NULL	0	2019-10-22 00:00:00.000
17M8A	Individuelle Schliessanlage DOM RS Sigma plus Nr: 17M8A	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-17 00:00:00.000
1950EURD	Master Lock Vorhangschloss 1950EURD aus Massivmessing mit verstellbarem Bügel von 70–155 mm	Master Lock	4	4	0	1950EURDCC	NULL	0	2020-05-27 00:00:00.000
1950EURDCC	Master Lock Vorhangschloss 1950EURD aus Massivmessing mit verstellbarem Bügel von 70 bis 155mm	Master Lock	-1	-1	1	NULL	NULL	0	2019-10-22 00:00:00.000
195EURQSN	Master Lock Vorhangschloss 195EURQSN mit verdecktem Bügel, 4 Stück gleichschließend	Master Lock	5	5	0	195EURQSN	NULL	0	2019-10-22 00:00:00.000
1A361D	Individuelle Schließanlage 1A361D	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1B3SMU	Individuelle Schließanlage 1B3SMU	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1C0F2E	Individuelle Schließanlage 1C0F2E	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1DG6L	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 1DG6L	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-31 00:00:00.000
1EXJMF	Individuelle Schließanlage 1EXJMF	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1F8NM	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 1F8NM	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-04-01 00:00:00.000
1H9SOC	Individuelle Schließanlage 1H9SOC	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1KCSX	Individuelle Schliessanlage DOM RS Sigma plus Nr: 1KCSX	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-06-24 00:00:00.000
1KZAC	Individuelle Schliessanlage DOM ix Twido Nr: 1KZAC	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-09-06 00:00:00.000
1LJLD6	Individuelle Schließanlage 1LJLD6	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1LQHI	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 1LQHI	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-28 00:00:00.000
1LR5W	Individuelle Schliessanlage DOM ix Twido Nr: 1LR5W	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-10-17 00:00:00.000
1N60FD	Individuelle Schließanlage 1N60FD	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1QKCGA	Individuelle Schließanlage 1QKCGA	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1REWY0	Individuelle Schließanlage 1REWY0	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1RR6UV	Individuelle Schließanlage 1RR6UV	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1T16U6	Individuelle Schließanlage 1T16U6	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1VUZM	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 1VUZM	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-16 00:00:00.000
1VY65N	Individuelle Schließanlage 1VY65N	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1XGVF8	Individuelle Schließanlage 1XGVF8	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
1YOH6U	Individuelle Schließanlage 1YOH6U	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
207EURD	Master Lock magnetisches Schlüsseletui 207EURD	Master Lock	7	7	1	207EURD	NULL	0	2019-03-13 00:00:00.000
2120EURD	Master Lock 2120EURD Notebook Schloss mit Zahlenkombination	Master Lock	2	2	1	NULL	NULL	0	2019-03-13 00:00:00.000
23LEKW	Individuelle Schließanlage 23LEKW	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
258600097M	SUDHAUS KeyLessBox 2586	SUDHAUS GmbH	0	0	1	NULL	NULL	2	2025-07-17 09:34:41.081
25QERG	Individuelle Schließanlage 25QERG	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
25UC4	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 25UC4	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-11-01 00:00:00.000
2650EURD	Master Lock Vorhangschloss 2650EURD, für Menschen mit eingeschränkter Handmobilität	Master Lock	3	3	1	2650EURD	NULL	0	2019-10-22 00:00:00.000
265EURD	Master Lock 265EURD verstellbare Sicherheitsleiste für Türen mit Doppelfunktion	Master Lock	3	3	1	265EURD	NULL	0	2019-03-13 00:00:00.000
26JTE	Individuelle Schliessanlage DOM RS Sigma plus Nr: 26JTE	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-07-31 00:00:00.000
26QN15	Individuelle Schließanlage 26QN15	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
