Firma,Domain,URL,Email,Telefon,Zahlungsarten
"Agrarflora","agrarflora.de","https://agrarflora.de","info@agrarflora.de","+4967506911","paypal, klarna, amazon_pay"
"Alango","alango.de","https://alango.de","info@alango.de","+4915846211","paypal"
"Alpenclassics","alpenclassics.de","https://alpenclassics.de","service@alpenclassics.de","+4969908550","paypal"
"Andalous Dessous","andalous-dessous.de","https://andalous-dessous.de","service@andalous-dessous.de","+4924054950080","paypal, amazon_pay"
"As Garten","as-garten.de","https://as-garten.de","info@as-garten.de","+490491805336999","paypal"
"Auragentum","auragentum.de","https://auragentum.de","info@auragentum.de","+4940027598","paypal"
"Automatik","automatikshop.de","https://automatikshop.de","info@automatikshop.de","+493023526315","paypal, stripe, amazon_pay"
"Beamer Discount","beamer-discount.de","https://beamer-discount.de","vertrieb@projektor.ag","+492217199810","paypal, klarna, amazon_pay"
"Besserdampfen","besserdampfen.de","https://besserdampfen.de","service@besserdampfen.de","+4967539699999","paypal"
"Blitzhandel","blitzhandel24.de","https://blitzhandel24.de","shop@blitzhandel24.de","+498001100077","paypal, klarna, stripe, amazon_pay"
"Boxerman","boxerman.de","https://boxerman.de","service@boxerman.de","+4921190172018","paypal, amazon_pay"
"Brauen","brauen.de","https://brauen.de","info@brauen.de","+491912171122","paypal, amazon_pay"
"C Ludwig","c-ludwig.de","https://c-ludwig.de","info@c-ludwig.de","+49049896926310","paypal, klarna, amazon_pay"
"Care","careshop.de","https://careshop.de","info@careshop.de","+4970399177","paypal"
"Cramer","cramershop.com","https://cramershop.com","service@cramershop.com","+494054737850","paypal"
"Doppellotte","doppellotte.de","https://doppellotte.de","info@doppellotte.de","+4935165353865","paypal"
"Duschenprofis","duschenprofis.de","https://duschenprofis.de","info@duschenprofis.de","+4903747587","paypal"
"E Lite Led","e-lite-led.de","https://e-lite-led.de","kontakt@e-lite-led.de","+4904915901998918","paypal, amazon_pay"
"Europack","europack24.de","https://europack24.de","info@europack24.de","+4959288397","paypal"
"Filzgleiter","filzgleiter-shop.de","https://filzgleiter-shop.de","mail@filzgleiter.de","+49150749260","paypal"
"Fotobrenner","fotobrenner.de","https://fotobrenner.de","info@fotobrenner.de","+499616706050","paypal"
