Domain,URL,Email,Telefon,Alle Emails,Alle Telefone,Zahlungsarten
"agrarflora.de","https://agrarflora.de","info@agrarflora.de","067506911","info@agrarflora.de","067506911; +494488896579; 04488896579","paypal, klarna, amazon_pay"
"alango.de","https://alango.de","info@alango.de","015846211","info@alango.de","015846211; 064046974254; +4964046974254","paypal"
"alpenclassics.de","https://alpenclassics.de","service@alpenclassics.de","069908550","service@alpenclassics.de","069908550; 09876712652745","paypal"
"alu-profile-zuschnitt.de","https://alu-profile-zuschnitt.de","solar-profile-slider_800x800@2x.webp","01003251","solar-profile-slider_800x800@2x.webp; solar-profile-slider_1280x1280@2x.webp; solar-profile-slider_1920x1920@2x.webp; slider_1_800x800@2x.webp; slider_1_1280x1280@2x.webp","01003251; 083333333333333; +4933779669669","paypal, amazon_pay"
"andalous-dessous.de","https://andalous-dessous.de","service@andalous-dessous.de","05376931","service@andalous-dessous.de","05376931; 024054950080; 05986430","paypal, amazon_pay"
"auragentum.de","https://auragentum.de","info@auragentum.de","040027598","info@auragentum.de","040027598; +498122945460; 08122945460","paypal"
"automatikshop.de","https://automatikshop.de","info@automatikshop.de","+493023526315","info@automatikshop.de","+493023526315","paypal, stripe, amazon_pay"
"beamer-discount.de","https://beamer-discount.de","vertrieb@projektor.ag","02217199810","vertrieb@projektor.ag","02217199810; 022171998110; 02217199810","paypal, klarna, amazon_pay"
"beha-web.de","https://beha-web.de","banner-hdp-system-startseite-1920x480_800x800@2x.webp","+493948181150","banner-hdp-system-startseite-1920x480_800x800@2x.webp; banner-hdp-system-startseite-1920x480_1140x1140@2x.webp; banner-hdp-system-startseite-1920x480_1920x1920@2x.webp","+493948181150; 03948181150; 034403712501","paypal"
"besserdampfen.de","https://besserdampfen.de","service@besserdampfen.de","+4967539699999","service@besserdampfen.de; aspire-zelos-x80-kit_200x200@2x.webp; aspire-zelos-x80-kit_600x600@2x.webp; aspire-zelos-x80-kit_100x100@2x.webp; aspire-zelos-x80-kit_400x400@2x.webp","+4967539699999","paypal"
"blitzhandel24.de","https://blitzhandel24.de","shop@blitzhandel24.de","08001100077","shop@blitzhandel24.de","08001100077; 0657876646; 08001100077","paypal, klarna, stripe, amazon_pay"
"boxerman.de","https://boxerman.de","service@boxerman.de","021190172018","service@boxerman.de","021190172018; 00512596845","paypal, amazon_pay"
"brauen.de","https://brauen.de","info@brauen.de","01912171122","info@brauen.de","01912171122; +4935121767343; +491755588606","paypal, amazon_pay"
