URL,Emails,Phones,Payments
"1a-saugnapf.com","","019833792; +4944519504933","paypal; klarna; stripe"
"agrarflora.de","info@agrarflora.de","067506911; +494488896579","paypal; klarna; amazon_pay"
"ahw-shop.de","","069616747","paypal; amazon_pay"
"akkushop.de","","071517071010; 06261740379069996835","paypal; klarna; amazon_pay"
"alango.de","info@alango.de","01584621-1; 06404 - 6974254
","paypal"
"alpenclassics.de","service@alpenclassics.de","069908550; 09876712652745","paypal"
"altenbrand.net","","+496692202290; 071231765","paypal"
"alu-messing-shop.de","","+4925579296363; 0 25 57 929 63 63","paypal"
"alu-profile-zuschnitt.de","","0100325-1; 083333333333333 ","paypal; amazon_pay"
"andalous-dessous.de","service@andalous-dessous.de","0537693-1; 02405 49 500 80 ","paypal; amazon_pay"
"ariadne.de","","00/77/65/; 0721-46 47 29 0","paypal"
"auragentum.de","info@auragentum.de","040027598; +498122945460","paypal"
"automatikshop.de","info@automatikshop.de","+49 30 235 263-15","paypal; stripe; amazon_pay"
"azubishop24.de","","07033 54877-60; +497033 54877-60","paypal"
"bb-buch.de","","000000000197; 000000000197-","paypal"
"beam-shop.de","","0 0 66 66; 05/27/37/","paypal"
"beamer-discount.de","vertrieb@projektor.ag","0221 - 719981 - 0; 0221 - 719981 - 10","paypal; klarna; amazon_pay"
"bear-family.com","","","paypal; klarna"
"bear-family.de","","","paypal; klarna; amazon_pay"
"beha-web.de","","+493948181150; 039481-81150","paypal"
"besserdampfen.de","service@besserdampfen.de","+4967539699999; 01/07/18/","paypal"
"best-software.de","","024-10-01; 026-02-01","paypal; stripe; amazon_pay; apple_pay; google_pay"
"bikemeile24.de","","+490783554120 ; 07835/54120 ","paypal; amazon_pay"
"bio-naturel.de","","0269570051; +4937618893311","paypal"
"blitzhandel24.de","shop@blitzhandel24.de","0800 1100077 ; 0657876646","paypal; klarna; stripe; amazon_pay"
"boxerman.de","service@boxerman.de","0211 901 720 18; 00512596845","paypal; amazon_pay"
"brauen.de","info@brauen.de","01912171122; +4935121767343","paypal; amazon_pay"
"brillenwerk24.de","","044113842; +49 8502 922369","paypal; klarna"
"bronze-shop.com","","033943781; +493512056447","paypal; amazon_pay"
"c-ludwig.de","info@c-ludwig.de; para@c-ludwig.de","0049896926310; +49896926310","paypal; klarna; amazon_pay"
"camp4.de","","+4930322966200; 030 322966 200 ","paypal"
"careshop.de","info@careshop.de","070399177; 03723 - 677 476 0","paypal"
"chapati.de","","+493029776027; 09588734235","paypal; klarna"
"classic-kontor.com","","08/67/45/; +4924319551400","paypal"
"classic-kontor.de","","08/67/45/; +4924319551400","paypal"
"collonil.com","","0 0 512 512; 05 8 256 8 119","paypal; amazon_pay"
"dachrinnen-kaufen.de","","098-1389-4","paypal"
"dampfdorado.de","","0152-0153; +49 681 96590 590","paypal"
"ddv-lokal.de","","07-2024-986; 0 0 395 395","paypal"
"designermode.com","","+4921618391154; 02161-8391154","paypal"
"doppellotte.de","info@doppellotte.de","+4935165353865; 0351/65353865","paypal"
"druckmittel.de","","","paypal; klarna; stripe"
"duschenprofis.de","info@duschenprofis.de","003747587; 060334943","paypal"
"e-lite-led.de","kontakt@e-lite-led.de","004915901998918; +49 159 019 989 18","paypal; amazon_pay"
"easynotebooks.de","","00-250-255-350-355; 00 / 250 / 255 / 350 / 355","paypal; klarna; amazon_pay"
"eibabo.com","","0/83/67/20160919-; 0
                    				","paypal; klarna; amazon_pay"
"enjoyyourcamera.com","","0
         ; 0/54/59200576","paypal"
"europack24.de","info@europack24.de","059288397; 067419935","paypal"
"fairtoner.de","service@fairtoner.de; abmeldung@fairtoner.de","0 0 512 512; 0 0 640 512","paypal; klarna"
"fansport24.de","kundenservice@fansport24.de","0
                ","paypal"
"feel-beauty.de","service@feel-beauty.de","0
            ; 0 0 19 19","paypal; klarna; amazon_pay"
"filzgleiter-shop.de","mail@filzgleiter.de","01 5074926-0; 0150749260","paypal"
"fototorte24.de","","0800 - 3 68 68 67 83; 09/61/54/","paypal; stripe; amazon_pay"
"frabox.de","info@frabox.de","+495251786730; 05251 - 78 67 30","paypal; stripe"
"frivolita.de","service@frivolita.de","02405 49 500 80
; +4924054950080","paypal; amazon_pay"
"fundis-reitsport.de","","+497904 5599100; 04 5599100","paypal; klarna; amazon_pay"
"gartentotal.de","","071192456; +492861606140","paypal; stripe"
"gehetec.de","info@gehetec.de","06-9998367; 055499998","paypal; klarna"
"german-toys.com","info@german-toys.com","+49-8191-964545; +49-8191-964511","paypal; klarna"
"gleitgut.de","info@gleitgut.de","01-50979910 ; 0201-50979910","paypal; klarna"
"golflaedchen.de","","+496251936990; 071634339","paypal"
"graefe24.de","","004828-1004764; 0 0 32 32","paypal; stripe"
"hairprofishop.de","","0441 - 480 757 17","paypal"
"heidelberger-chlorella.de","info@heidelberger-chlorella.de","075292063; +49622492700","paypal"
"heimkino.de","info@heimkino.de","+4922158832420; 0221-5883242-0","paypal; klarna; amazon_pay"
"heizman24.de","info@heizman24.de","0001814790; +4935762170120","paypal; stripe; amazon_pay"
"henne-fashion.com","shop@henne-fashion.com; info@henne-fashion.com","+494212444848; +49 421 2444848","paypal; amazon_pay"
"holz-und-handlauf.de","info@holz-und-handlauf.de","0
            ; +4993749788855","paypal; klarna; amazon_pay"
"holzbrx.de","info@holzbrx.de","0 0 512 512; 0 0 500 500","paypal; amazon_pay"
"holzwelt-graef.de","info@holzwelt-graef.de","0421-564800; 0421 - 564800 ","paypal; klarna; amazon_pay"
"hotsound-store.com","info@hot-sound.de","0677021582; +49 4471 708830
","paypal"
"ism-store.com","service@ism-store.com","","paypal; amazon_pay"
